"dyear","mtl","msl"
2002.792,2.532,2.582
2002.875,2.663,2.713
2002.958,2.546,2.596
2003.042,2.489,2.539
2003.125,2.406,2.456
2003.208,2.436,2.486
2003.292,2.441,2.491
2003.375,2.466,2.516
2003.458,2.529,2.579
2003.542,2.516,2.566
2003.625,2.442,2.492
2003.708,2.454,2.504
2003.792,2.481,2.531
2003.875,2.614,2.664
2003.958,2.479,2.529
2004.042,2.532,2.582
2004.125,2.396,2.446
2004.208,2.41,2.46
2004.292,2.416,2.466
2004.375,2.397,2.447
2004.458,2.431,2.481
2004.542,2.426,2.476
2004.625,2.53,2.58
2004.708,2.49,2.54
2004.792,2.657,2.707
2004.875,2.427,2.477
2004.958,2.473,2.523
2005.042,2.428,2.478
2005.125,2.276,2.326
2005.208,2.403,2.453
2005.292,2.446,2.496
2005.375,2.43,2.48
2005.458,2.443,2.493
2005.542,2.453,2.503
2005.625,2.463,2.513
2005.708,2.514,2.564
2005.792,2.585,2.635
2005.875,2.543,2.593
2005.958,2.472,2.522
2006.042,NA,NA
2006.125,NA,NA
2006.208,NA,NA
2006.292,NA,NA
2006.375,NA,NA
2006.458,NA,NA
2006.542,NA,NA
2006.625,NA,NA
2006.708,2.607,2.657
2006.792,2.698,2.748
2006.875,2.708,2.758
2006.958,2.6,2.65
2007.042,2.535,2.585
2007.125,2.568,2.618
2007.208,NA,NA
2007.292,2.348,2.398
2007.375,2.465,2.515
2007.458,2.53,2.58
2007.542,NA,NA
2007.625,2.45,2.5
2007.708,2.438,2.488
2007.792,2.528,2.578
2007.875,2.47,2.52
2007.958,2.545,2.595
2008.042,2.644,2.694
2008.125,2.532,2.582
2008.208,2.468,2.518
2008.292,2.492,2.542
2008.375,2.481,2.531
2008.458,2.475,2.525
2008.542,2.54,2.59
2008.625,2.556,2.606
2008.708,2.512,2.562
2008.792,2.573,2.623
2008.875,2.513,2.563
2008.958,2.484,2.534
2009.042,2.622,2.672
2009.125,2.432,2.482
2009.208,2.424,2.474
2009.292,2.483,2.533
2009.375,2.468,2.518
2009.458,2.499,2.549
2009.542,2.567,2.617
2009.625,2.566,2.616
2009.708,2.472,2.522
2009.792,2.606,2.656
2009.875,2.736,2.786
2009.958,2.675,2.725
2010.042,2.507,2.557
2010.125,2.584,2.634
2010.208,2.486,2.536
2010.292,2.432,2.482
2010.375,2.411,2.461
2010.458,2.458,2.508
2010.542,2.529,2.579
2010.625,2.504,2.554
2010.708,2.566,2.616
2010.792,2.647,2.697
2010.875,2.64,2.69
2010.958,2.53,2.58
2011.042,2.502,2.552
2011.125,2.575,2.625
2011.208,2.386,2.436
2011.292,2.444,2.494
2011.375,2.498,2.548
2011.458,2.497,2.547
2011.542,2.487,2.537
2011.625,2.526,2.576
2011.708,2.61,2.66
2011.792,2.608,2.658
2011.875,2.681,2.731
2011.958,2.583,2.633
2012.042,2.475,2.525
2012.125,2.314,2.364
2012.208,2.349,2.399
2012.292,2.486,2.536
2012.375,2.478,2.528
2012.458,2.554,2.604
2012.542,2.515,2.565
2012.625,2.602,2.652
2012.708,2.555,2.605
2012.792,2.661,2.711
2012.875,2.681,2.731
2012.958,2.666,2.716
2013.042,2.607,2.657
2013.125,2.468,2.518
2013.208,2.588,2.638
2013.292,2.541,2.591
2013.375,2.456,2.506
2013.458,2.446,2.496
2013.542,2.486,2.536
2013.625,2.537,2.587
2013.708,2.519,2.569
2013.792,2.696,2.746
2013.875,2.505,2.555
2013.958,2.717,2.767
2014.042,2.723,2.773
2014.125,2.727,2.777
2014.208,2.449,2.499
2014.292,2.509,2.559
2014.375,2.463,2.513
2014.458,2.466,2.516
2014.542,2.502,2.552
2014.625,2.54,2.59
2014.708,2.515,2.565
2014.792,2.7,2.75
2014.875,NA,NA
2015.042,NA,NA
2015.125,2.346,2.396
2015.208,2.432,2.482
2015.292,2.417,2.467
2015.375,2.514,2.564
2015.458,2.489,2.539
2015.542,2.582,2.632
2015.625,2.559,2.609
2015.708,NA,NA
2015.792,2.62,2.67
2015.875,2.674,2.724
2015.958,2.806,2.856
2016.042,2.706,2.756
2016.125,2.572,2.622
2016.208,2.44,2.49
2016.292,2.514,2.564
2016.375,2.534,2.584
2016.458,2.521,2.571
2016.542,2.54,2.59
2016.625,2.57,2.62
2016.708,2.632,2.682
2016.792,2.577,2.627
2016.875,2.561,2.611
2016.958,2.606,2.656
NA,2.503,2.553
NA,2.616,2.666
NA,2.529,2.579
NA,2.435,2.485
NA,2.634,2.684
NA,2.744,2.794
NA,2.724,2.774
NA,2.536,2.586
NA,2.548,2.598
NA,2.566,2.616
NA,2.829,2.879
NA,2.826,2.876
